,artistsrc,titlesrc,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
54,Mahalia Jackson,Move On Up a Little Higher,0.433,0.229,10,-10.147,1,0.0278,0.992,0.00014,0.114,0.518,82.971,audio_features,1pZ09vPv0b3s4uAVCHbbIF,spotify:track:1pZ09vPv0b3s4uAVCHbbIF,https://api.spotify.com/v1/tracks/1pZ09vPv0b3s4uAVCHbbIF,https://api.spotify.com/v1/audio-analysis/1pZ09vPv0b3s4uAVCHbbIF,163040,4,
55,M,Pop Muzik,0.94,0.727,1,-9.982,1,0.0358,0.124,0.00021,0.0808,0.969,110.796,audio_features,0FBeVAGy58YREuZK2rpRVm,spotify:track:0FBeVAGy58YREuZK2rpRVm,https://api.spotify.com/v1/tracks/0FBeVAGy58YREuZK2rpRVm,https://api.spotify.com/v1/audio-analysis/0FBeVAGy58YREuZK2rpRVm,296467,4,
56,Modern Talking,"You're My Heart, You're My Soul",0.845,0.541,1,-9.029,0,0.0748,0.0586,0.0586,0.149,0.79,117.362,audio_features,0Zn63G0XTiqXwr1KSmARWz,spotify:track:0Zn63G0XTiqXwr1KSmARWz,https://api.spotify.com/v1/tracks/0Zn63G0XTiqXwr1KSmARWz,https://api.spotify.com/v1/audio-analysis/0Zn63G0XTiqXwr1KSmARWz,334600,4,
57,Nirvana,Smells Like Teen Spirit,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,audio_features,1f3yAtsJtY87CTmM8RLnxf,spotify:track:1f3yAtsJtY87CTmM8RLnxf,https://api.spotify.com/v1/tracks/1f3yAtsJtY87CTmM8RLnxf,https://api.spotify.com/v1/audio-analysis/1f3yAtsJtY87CTmM8RLnxf,301920,4,
58,O-Zone,Dragostea din tei,0.664,0.888,11,-6.465,0,0.0294,0.0356,0.0,0.0913,0.791,130.035,audio_features,4TtkcCPD4SdVPhu2yFobMp,spotify:track:4TtkcCPD4SdVPhu2yFobMp,https://api.spotify.com/v1/tracks/4TtkcCPD4SdVPhu2yFobMp,https://api.spotify.com/v1/audio-analysis/4TtkcCPD4SdVPhu2yFobMp,213267,4,
59,Shocking Blue,Venus,0.691,0.762,11,-6.47,0,0.0367,0.462,0.0286,0.0804,0.957,128.111,audio_features,0Z3xhSOhrawLV81YdiDiiJ,spotify:track:0Z3xhSOhrawLV81YdiDiiJ,https://api.spotify.com/v1/tracks/0Z3xhSOhrawLV81YdiDiiJ,https://api.spotify.com/v1/audio-analysis/0Z3xhSOhrawLV81YdiDiiJ,187533,4,
60,Maurice Williams and the Zodiacs,Stay,0.555,0.404,7,-14.187,0,0.0621,0.842,0.0,0.218,0.736,120.509,audio_features,5R2DZitRTDYtrkCoJiddct,spotify:track:5R2DZitRTDYtrkCoJiddct,https://api.spotify.com/v1/tracks/5R2DZitRTDYtrkCoJiddct,https://api.spotify.com/v1/audio-analysis/5R2DZitRTDYtrkCoJiddct,94907,4,
61,4 Non Blondes,What's Up?,0.561,0.555,11,-9.734,0,0.0287,0.16,0.0,0.114,0.497,134.369,audio_features,0jWgAnTrNZmOGmqgvHhZEm,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/tracks/0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/audio-analysis/0jWgAnTrNZmOGmqgvHhZEm,295493,4,
62,The Black Crowes,Hard to Handle,0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,audio_features,05NYcsjJwOYq4jIiKPVj9p,spotify:track:05NYcsjJwOYq4jIiKPVj9p,https://api.spotify.com/v1/tracks/05NYcsjJwOYq4jIiKPVj9p,https://api.spotify.com/v1/audio-analysis/05NYcsjJwOYq4jIiKPVj9p,188067,4,
63,Chic,Le Freak,0.867,0.746,7,-7.445,1,0.0475,0.0453,0.0,0.123,0.933,118.616,audio_features,28NBmftocOzTPEb6OYA9fW,spotify:track:28NBmftocOzTPEb6OYA9fW,https://api.spotify.com/v1/tracks/28NBmftocOzTPEb6OYA9fW,https://api.spotify.com/v1/audio-analysis/28NBmftocOzTPEb6OYA9fW,327573,4,
64,Georgie Fame,The Ballad of Bonnie and Clyde,0.706,0.467,7,-9.523,1,0.0852,0.713,0.0,0.253,0.735,107.053,audio_features,1C2K7ouw8OYXVThAnSXID9,spotify:track:1C2K7ouw8OYXVThAnSXID9,https://api.spotify.com/v1/tracks/1C2K7ouw8OYXVThAnSXID9,https://api.spotify.com/v1/audio-analysis/1C2K7ouw8OYXVThAnSXID9,189947,4,
65,Danyel Gérard,Butterfly,0.461,0.468,7,-8.654,1,0.0297,0.253,2.28e-05,0.101,0.515,81.192,audio_features,72rLswhYvQz9LRx3LogMIW,spotify:track:72rLswhYvQz9LRx3LogMIW,https://api.spotify.com/v1/tracks/72rLswhYvQz9LRx3LogMIW,https://api.spotify.com/v1/audio-analysis/72rLswhYvQz9LRx3LogMIW,205093,4,
66,Las Ketchup,Aserejé,0.607,0.923,1,-6.777,1,0.0948,0.0193,1.1e-06,0.0924,0.868,184.819,audio_features,6UEfyhyfhYQsyipxOd95Ie,spotify:track:6UEfyhyfhYQsyipxOd95Ie,https://api.spotify.com/v1/tracks/6UEfyhyfhYQsyipxOd95Ie,https://api.spotify.com/v1/audio-analysis/6UEfyhyfhYQsyipxOd95Ie,213973,4,
67,Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair),0.525,0.52,7,-11.725,1,0.0271,0.538,0.00569,0.111,0.523,112.554,audio_features,6vcNJUWtUPB0hKC6VbZriY,spotify:track:6vcNJUWtUPB0hKC6VbZriY,https://api.spotify.com/v1/tracks/6vcNJUWtUPB0hKC6VbZriY,https://api.spotify.com/v1/audio-analysis/6vcNJUWtUPB0hKC6VbZriY,178507,4,
68,Roy Orbison,"Oh, Pretty Woman",0.619,0.603,9,-9.481,1,0.0342,0.715,0.0,0.0721,0.958,127.432,audio_features,48i055G1OT5KxGGftwFxWy,spotify:track:48i055G1OT5KxGGftwFxWy,https://api.spotify.com/v1/tracks/48i055G1OT5KxGGftwFxWy,https://api.spotify.com/v1/audio-analysis/48i055G1OT5KxGGftwFxWy,178933,4,
69,Queen,Another One Bites the Dust,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,audio_features,5vdp5UmvTsnMEMESIF2Ym7,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,https://api.spotify.com/v1/tracks/5vdp5UmvTsnMEMESIF2Ym7,https://api.spotify.com/v1/audio-analysis/5vdp5UmvTsnMEMESIF2Ym7,214653,4,
70,Julie Rogers,The Wedding,0.322,0.392,8,-9.757,1,0.0369,0.767,2.07e-06,0.104,0.464,95.85,audio_features,4tXEEORK2t25X2BpBHb2yw,spotify:track:4tXEEORK2t25X2BpBHb2yw,https://api.spotify.com/v1/tracks/4tXEEORK2t25X2BpBHb2yw,https://api.spotify.com/v1/audio-analysis/4tXEEORK2t25X2BpBHb2yw,149293,3,
71,Amazing Grace,Amazing Grace,0.505,0.461,7,-7.691,1,0.0278,0.721,0.755,0.071,0.414,87.989,audio_features,0enLtCNBPxgqHQJ68Uk1H8,spotify:track:0enLtCNBPxgqHQJ68Uk1H8,https://api.spotify.com/v1/tracks/0enLtCNBPxgqHQJ68Uk1H8,https://api.spotify.com/v1/audio-analysis/0enLtCNBPxgqHQJ68Uk1H8,244827,4,
72,Spice Girls,Wannabe,0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008,audio_features,1Je1IMUlBXcx1Fz0WE7oPT,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/tracks/1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/audio-analysis/1Je1IMUlBXcx1Fz0WE7oPT,173027,4,
73,Ricky Valance,Tell Laura I Love Her,0.48,0.251,10,-10.762,1,0.0335,0.691,8.05e-06,0.139,0.549,116.715,audio_features,77RGXccaKCPp3sLlP5eOOR,spotify:track:77RGXccaKCPp3sLlP5eOOR,https://api.spotify.com/v1/tracks/77RGXccaKCPp3sLlP5eOOR,https://api.spotify.com/v1/audio-analysis/77RGXccaKCPp3sLlP5eOOR,160099,4,
74,Artie Shaw,Begin the Beguine,0.656,0.238,2,-10.889,1,0.0377,0.938,0.134,0.292,0.616,139.774,audio_features,1H13WKDhOgwVeWzveBPTh0,spotify:track:1H13WKDhOgwVeWzveBPTh0,https://api.spotify.com/v1/tracks/1H13WKDhOgwVeWzveBPTh0,https://api.spotify.com/v1/audio-analysis/1H13WKDhOgwVeWzveBPTh0,194933,4,
75,Culture Club,Do You Really Want to Hurt Me,0.744,0.376,4,-14.996,0,0.0366,0.0815,0.0,0.108,0.42,100.78,audio_features,1I6q6nwNjNgik1Qe8Oi0Y7,spotify:track:1I6q6nwNjNgik1Qe8Oi0Y7,https://api.spotify.com/v1/tracks/1I6q6nwNjNgik1Qe8Oi0Y7,https://api.spotify.com/v1/audio-analysis/1I6q6nwNjNgik1Qe8Oi0Y7,262173,4,
76,Eiffel 65,Blue (Da Ba Dee),0.822,0.969,7,-11.471,0,0.0582,0.259,0.000162,0.39,0.765,128.007,audio_features,2yAVzRiEQooPEJ9SYx11L3,spotify:track:2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3,283748,4,
77,The Archies,"Sugar, Sugar",0.736,0.871,2,-2.786,1,0.0278,0.466,0.0,0.108,0.967,122.395,audio_features,3iSws76HjaU7k49EqJVTfF,spotify:track:3iSws76HjaU7k49EqJVTfF,https://api.spotify.com/v1/tracks/3iSws76HjaU7k49EqJVTfF,https://api.spotify.com/v1/audio-analysis/3iSws76HjaU7k49EqJVTfF,167187,4,
78,Can't Buy Me Love,Can't Buy Me Love,0.483,0.677,0,-5.91,1,0.0593,0.283,0.0,0.321,0.842,170.72,audio_features,3SdingSsFcZDZAyvcJbgAw,spotify:track:3SdingSsFcZDZAyvcJbgAw,https://api.spotify.com/v1/tracks/3SdingSsFcZDZAyvcJbgAw,https://api.spotify.com/v1/audio-analysis/3SdingSsFcZDZAyvcJbgAw,131867,4,
79,The Champs,Tequila,0.671,0.742,5,-9.912,1,0.0441,0.121,0.679,0.0601,0.897,89.748,audio_features,5gJKsGij5oGt5H5RSFYXPa,spotify:track:5gJKsGij5oGt5H5RSFYXPa,https://api.spotify.com/v1/tracks/5gJKsGij5oGt5H5RSFYXPa,https://api.spotify.com/v1/audio-analysis/5gJKsGij5oGt5H5RSFYXPa,135240,4,
80,Clout,Substitute,0.703,0.726,4,-7.089,1,0.0245,0.0108,0.0,0.161,0.785,103.019,audio_features,5po2HCMZvJ0aPSxRRGKm3p,spotify:track:5po2HCMZvJ0aPSxRRGKm3p,https://api.spotify.com/v1/tracks/5po2HCMZvJ0aPSxRRGKm3p,https://api.spotify.com/v1/audio-analysis/5po2HCMZvJ0aPSxRRGKm3p,209187,4,
81,Coolio,Gangsta's Paradise,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.387,79.974,audio_features,7lQWRAjyhTpCWFC0jmclT4,spotify:track:7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/tracks/7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/audio-analysis/7lQWRAjyhTpCWFC0jmclT4,240693,4,
82,Bing Crosby,Jingle Bells,0.743,0.457,3,-10.454,1,0.0689,0.709,0.0,0.0694,0.862,121.756,audio_features,3lkYWtgDfvt304mDIkzCxr,spotify:track:3lkYWtgDfvt304mDIkzCxr,https://api.spotify.com/v1/tracks/3lkYWtgDfvt304mDIkzCxr,https://api.spotify.com/v1/audio-analysis/3lkYWtgDfvt304mDIkzCxr,154707,4,
